Judul,Industri,Tipe,Kategori,Tanggal_Post,Berlaku_Hingga,Perusahaan,Website_Perusahaan,Logo_Perusahaan,Alamat,Kota,Provinsi,Negara,Latitude,Longitude,Gaji_Min,Gaji_Max,Gaji_Currency,Gaji_Unit,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi,Tentang_Perusahaan,Benefit,Apply_Langsung,Link
Data Analyst,Information Technology and Services,CONTRACTOR,Data Analyst,2026-03-27T07:22:55.019Z,2026-04-27,Kodegiri,http://www.kodegiri.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/67032e4d15ede9912c88852dd65a2c29.png,"Jalan kenanga 126B, Sinduadi, Mlati, Sleman, Yogyakarta, Sleman 55284, ID",Jakarta Pusat,DKI Jakarta,ID,-6.20556,106.81111,6000000.0,7250000.0,IDR,MONTH,"Data Visualization, Microsoft Excel, SQL, Tableau, Data Analysis, Power BI, Microsoft SQL Server",36.0,professional certificate,"JOB DESCRIPTIONS :  
 1. Process, analyze, and interpret data to support business decision-making
 
 2. Develop and maintain reports using Microsoft Excel (advanced level)
 
 3. Create data transformations using Power Query and advanced formulas
 
 4. Manage and optimize data using SQL and MS SSIS
 
 5. Support automation workflows using Power Automate / TMAPS
 
 6. Monitor data accuracy and ensure data integrity
 
 7. Provide insights based on automotive trends and related data
 
 8. Collaborate with stakeholders to understand reporting needs
 
 
 JOB REQUIREMENTS :  
 1. Minimum 2–3 years of experience as a Data Analyst or similar role
 
 2. Fluent in Microsoft Excel (Power Query, Pivot Table, Table, Macro)
 
 3. Strong proficiency in SQL and MS SSIS
 
 4. Experience handling Power Automate / TMAPS
 
 5. Adaptive and familiar with automotive terms and industry updates
 
 6. Willing to work onsite at client office (Central Jakarta)
 
 7. Strong analytical thinking and problem-solving skills
 
 8. Good communication and reporting skills",Kodegiri starts as A software house then later evolved into a specialist on developing Custom B2B Market Place for our customer around the world with the ecosystem.,,True,https://glints.com/id/opportunities/jobs/data-analyst/e9c229e5-edd3-4872-ab7f-9dc5d229d670
Data Analyst,Retail,FULL_TIME,Data Analyst,2026-04-06T10:51:25.537Z,2026-05-07,PT. DANGHUAN TEKNOLOGI INDONESIA,http://www.danghuanindo.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d0dd0cec18278fcab36477e9cd9a9249.jpg,Landmark Pluit Lantai 12,Jakarta Utara,DKI Jakarta,ID,-6.12083,106.76111,5750000.0,7500000.0,IDR,MONTH,"Data Visualization, Microsoft Excel, Data Analysis",12.0,bachelor degree,"Kualifikasi: 
 Pendidikan minimal SMA/SMK/D3 (diutamakan Administrasi/Manajemen) 
 Pengalaman minimal 1 tahun sebagai Admin Sales  
 Wajib bisa menggunakan Excel 
 Teliti, rapi, dan mampu mengelola data dengan baik 
 Memiliki komunikasi yang baik 
 Mampu bekerja secara mandiri maupun dalam tim 
 
 Tanggung Jawab: 
 Mengelola dan menginput data penjualan 
 Membuat quotation & SO 
 Menyiapkan & Menganalisa laporan penjualan harian/mingguan/bulanan 
 Berkoordinasi dengan tim sales, gudang, dan finance 
 Mengarsipkan dokumen penjualan dengan rapi","Danghuan is wholly-owned subsidiary of Oppo China. Established in 2018 at China and focus in second-hand electronic products. It has now become a leading second-hand electronic product service provider in China. 
 
 Founded in 2023, Danghuan teknologi Indonesia is commited to use better technology and mature channels to serve and give local customers a better experience in buy and use electronic products. Also, Danghuan aims to facilitate the circulation and trade of local second-hand electronic products in Indonesia.","bpjs tenaga kerja insurance and health, medical coverage, sales commission financial benefits, near public transport work environment and facilities, user defined, career growth",True,https://glints.com/id/opportunities/jobs/data-analyst/c1456e08-7fed-4dc3-a039-e5207f80bb0f
,,,,,,,,,,,,,,,,,,,,,,,,,,https://glints.com/id/opportunities/jobs/data-analyst-internship/fab5b5ac-c439-4fad-a7e5-e05596c942c5
,,,,,,,,,,,,,,,,,,,,,,,,,,https://glints.com/id/opportunities/jobs/data-analyst/f82015b6-bc6c-4eef-bb64-23d8b098de85
Data Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-03-26T07:13:08.794Z,2026-04-26,HIGO,http://higo.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2008a49b0d3c23c974a91801ac941681.jpg,"Jl. Panjang Raya, Kedoya Elok Plaza, Blok DA No.3-4, RT.19/RW.4, South Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",Jakarta Barat,DKI Jakarta,ID,-6.18889,106.77083,5700000.0,7000000.0,IDR,MONTH,"Python, Data Visualization, Data Analysis, Statistics, Tableau, Power BI, Microsoft Excel, SQL",12.0,bachelor degree,"Requirement: 
 1. Bachelor’s degree in  Data Science, Computer Science, Statistics, Mathematics, or related field with certifications related to data science, data analysts business analytics, or AI/ML. 
 2.  Minimum 1–3 years of hands-on experience  in a data analyst or similar analytical role. 
 3. Have a strong analytical mindset, excellent data manipulation skills, and a passion for uncovering insights that drive business value 
 4. Proficiency in  MongoDB, SQL and programming languages like Python or R. 
 5. Strong experience with data visualization tools  (e.g., Tableau, Power BI, or Looker). 
 6. Solid understanding of  statistical analysis, hypothesis testing, and data modeling. 
 7. Familiarity with machine learning concepts and basic experience with frameworks like  scikit-learn, TensorFlow, or similar. 
 8. Strong business acumen, data product knowledge and problem solving abilities. 
 9. Ability to clearly communicate technical insights to non-technical stakeholders. 
 10. Experience in a business analyst role or working closely with business units. 
 11. Knowledge of data engineering pipelines and tools is a plus. 
 12. Familiarity with AI use cases in business contexts  (e.g., customer segmentation, churn prediction). 
 
 Job Description: 
 1. Collect, clean, and transform data from multiple sources for analysis. 
 2. Perform exploratory data analysis to identify trends, anomalies, and opportunities. 
 3. Develop and maintain dashboards and reports to support data-driven decision-making. 
 4. Collaborate with product, marketing, operations, and other departments to understand data needs. 
 5. Work with machine learning and AI teams to support data preparation and model evaluation. 
 6. Assist in forecasting, segmentation, and performance analysis projects. 
 7. Translate analytical findings into actionable business insights and recommendations. 
 8. Document processes and develop reusable code/templates for analysis. 
 9. Often collaborate with stakeholders to translate data into strategic decisions.","Higo merupakan sebuah WiFi Advertising Platform yang hadir untuk membantu pelaku bisnis mengenal semua pengunjung secara lebih dekat layaknya seorang teman, serta mampu melakukan human-based marketing dari data analitik. 
 Kami menghadirkan layanan Social WiFi, Free WiFi, dan HIGOes To School di beberapa lokasi strategis. 
 Vision : 
 To be the most innovative solution for digital information exchange and distribution in Indonesia 
 Mission : 
 Innovative – Memaksimalkan fasilitas internet di area publik untuk mengenal semua pengunjung layaknya teman, buat traffic iklan yang tinggi, dan ciptakan customize survey yang menarik perhatian 
 Reliable – Buat pengunjung terus kembali, tayangkan iklan di spot yang tepat dan raih potensial customer lebih banyak dengan segmentasi audiens yang akurat 
 Relevant – Menjadi solusi terbaik bagi pemilik bisnis untuk meningkatkan jumlah pengunjung, mampu menghasilkan awareness dan leads dari iklan yang ditayangkan","team building events, professional development, free food and beverages, near public transport work environment and facilities, bpjs tenaga kerja insurance and health, thr financial benefits, career growth, medical coverage",True,https://glints.com/id/opportunities/jobs/data-analyst/d928b194-5e9e-45a5-a4d6-ee7bbfda6dbc
Data Analyst,Information Technology and Services,FULL_TIME,Data Analyst,2026-01-28T01:10:00.502Z,2026-04-29,PT. Berlian Sistem Informasi,http://bsi.co.id,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/cd1a98bcad61553b3059daf9da952105.png,"KTB Annex Building, 4th Floor Jl. Jendral A. Yani, Pulomas",Jakarta Timur,DKI Jakarta,ID,-6.19306,106.88889,9100000.0,15200000.0,IDR,MONTH,"Data Analysis, Power BI, Data Visualization, Microsoft Excel, SQL",36.0,bachelor degree,"Perform data management activities in accordance with customer, company, contract, and regulatory requirements. 
 Interact with customers and other teams to obtain data requirements for new and existing applications. 
 Identify business problems and variables which need to be predicted. 
 Understand how to utilize data to solve business problems. 
 Support development, enhancement, evaluate and maintenance of multiple datasets for consistency, completeness, accuracy and reasonableness. 
 Perform data analysis and generate data reports on periodic basis for management and customers. 
 Present data management updates at internal and customer meetings. 
 Develop process improvements for data management activities. 
 
 
 Requirement 
 
 Minimum 3 years of experience in data management, data analysis, or a related field. 
 Bachelor’s degree in a relevant discipline from a reputable university. 
 Excellent English communication skills (written and verbal). 
 Proven ability to manage and analyze large datasets with high accuracy and consistency. 
 Strong knowledge of data management principles and data governance. 
 Proficiency in SQL, Excel, and BI tools. 
 Ability to identify business problems and deliver data-driven solutions. 
 Strong problem-solving skills and a proactive approach to process improvements. 
 Capable of working independently and in a team environment.","PT Berlian Sistem Informasi is an IT service and consulting company, focusing on automotive and mobility service business in Indonesia. As one of group companies of Mitsubishi Corporation, our dream is to create cross-industry new value and drive transformation of automotive and mobility service.","medical coverage, career growth, thr financial benefits, professional development, bpjs tenaga kerja insurance and health",True,https://glints.com/id/opportunities/jobs/data-analyst/273ea407-0b58-46c7-8dbc-3d77c21db5ae
Data Analyst,Apparel & Fashion,FULL_TIME,Data Analyst,2026-02-04T15:25:22.151Z,2026-04-25,itsmostly,,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/45d64d48d3e6a87ac7c1f6df2e73c016.jpg,"Jalan Sarimadu 42A, Sukawarna, Sukajadi, Jawa Barat 40164, ID",Bandung Barat,Jawa Barat,ID,-6.8075,107.58278,3000000.0,5000000.0,IDR,MONTH,"Data Analysis, Microsoft Word, Analytical Skills, Statistics, Presentation Skills, Communication, Microsoft Excel, Administration",12.0,professional certificate,"- Menganalisa data produk & data penjualanan 
 - Mengelola data produk & market  
 - Membantu membuat forecast dari hasil analisa data",,meal allowance financial benefits,True,https://glints.com/id/opportunities/jobs/data-analyst/3530b134-8cfd-4430-9266-d9c4b0391f90
,,,,,,,,,,,,,,,,,,,,,,,,,,https://glints.com/id/opportunities/jobs/data-analyst/74fc3023-fe3e-40b0-9cbc-1f335b4934bd
Data Analyst,Financial Services,FULL_TIME,Data Analyst,2025-12-26T02:36:38.556Z,2026-05-01,PT Pusat Gadai Indonesia,http://www.pusatgadaiindonesia.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6c20f90803005eb55d0f7e4c6b049dbc.jpeg,"Jl. Arteri Kelapa Dua Blok B1-B2 Kav 12 Kec. Kebon Jeruk, Kota Jakarta Barat",Jakarta Barat,DKI Jakarta,ID,-6.18889,106.77083,5000000.0,6500000.0,IDR,MONTH,"Microsoft Excel, Tableau, Power BI",,bachelor degree,"Tugas dan tanggung jawab : 
 - Mengolah data agar siap dianalisis, termasuk normalisasi atau standarisasi data.  
 - Menganalisis data menggunakan berbagai teknik statistik untuk menemukan pola, tren, dan hubungan.  
 - Membuat grafik, diagram, atau dashboard untuk memvisualisasikan hasil analisis agar lebih mudah dipahami.  
 - Mempresentasikan hasil analisis kepada tim atau pihak yang berkepentingan, baik dalam bentuk tertulis maupun lisan, sehingga mudah dipahami oleh pihak non-teknis.  
 - Mengelola dan memelihara database yang digunakan untuk menyimpan data yang relevan untuk analisis.","Gabung bersama perusahaan gadai swasta No. 1 di Indonesia! Pusat Gadai Indonesia telah memiliki lebih dari 1000 cabang di seluruh Indonesia dan terus berkembang pesat. Kami membuka kesempatan untuk kamu yang ingin punya karier stabil, berkembang, dan menjadi bagian dari perusahaan terpercaya yang diawasi OJK.","free food and beverages, team building events, vacation and leaves, insurance, professional development, loans",True,https://glints.com/id/opportunities/jobs/data-analyst/be3366c7-c371-4622-8c0c-d7bc37201eac
Data Analyst,Retail,FULL_TIME,Data Analyst,2026-03-12T07:43:34.841Z,2026-04-12,Nusantara Sakti Group,https://www.nusantara-sakti.com,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/b4b6d4378e7834800bf5395c8685ce8d.jpg,"Gedung The Victoria Lantai 5-6 Jl. Tomang Raya Kav. 35-37, RT.12/RW.5, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",Jakarta Barat,DKI Jakarta,ID,-6.19167,106.79444,7000000.0,10000000.0,IDR,MONTH,"Business Strategy, Pivot Table, Business Growth Strategy, Business Development, Business Analysis, Business Process Improvement, Data Analysis, Microsoft Excel, Business Improvement, Analytical Skills, Tableau, SQL",12.0,bachelor degree,"Qualifications : 
 
 Pendidikan minimal S1 jurusan  Statistika, Matematika, Accounting, Aktuaria, Ekonomi, Sistem Informasi,  dan jurusan relevan lainnya 
 Menguasai Excel minimal intermediate , kemampuan SQL / Power BI / Tableu menjadi nilai tambah 
 Mampu menganalisa data dalam jumlah besar dan membuat  forecasting 
 Komunikatif dan  Detail-oriented 
 Inisiatif dan mampu bekerja lintas tim/divisi 
 Memiliki ketertarikan dan pemahaman tentang dunia bisnis 
 Memahami  Business Process Management  menjadi nilai tambah 
 Memiliki pengalaman sebagai  Data analyst  menjadi nilai tambah 
 Penempatan  Jakarta Barat 
 
 
 Jobdesc : 
 
 Melakukan analisa data pencapaian dan alur proses dari sebuah bisnis 
 Bertanggung jawab terhadap pencapaian bisnis 
 Mampu mengolah, menganalisa, mengintepretasi, dan memvisualisasi data sesuai bisnis/divisi yang menjadi tanggung jawab 
 Memberikan insight strategis dan  actionable  untuk meningkatkan efisiensi dan efektivitas 
 Menerjemahkan konsep  improvement  bisnis menjadi kebutuhan sistem  (system requirement) 
 Berkoordinasi dengan tim IT untuk memastikan pemahaman kebutuhan sistem sesuai dengan konsep bisnis 
 Melakukan analisa ulang apabila hasil penerapan belum sesuai ekspektasi, sehingga terbentuk pola  continuous development / continuous improvement  agar sistem dan proses terus berkembang secara berkelanjutan. 
 Membangun hubungan kerjasama internal dan eksternal 
 Mempersiapkan laporan bulanan, triwulan, dan tahunan","Nusantara Sakti Group adalah perusahaan yang bergerak di berbagai unit usaha. 
 Beberapa unit usahanya ialah : 
 
 Dealer Resmi Sepeda Motor Honda 
 Bengkel Resmi Sepeda Motor Honda (AHASS) 
 Pembiayaan Multiguna Motor (M2W) 
 Pembiayaan Multiguna Mobil (M4W) & Mortgage 
 Jasa Pengiriman dan Ekspedisi 
 Distibutor (Honda Genuine Parts, Honda Genuine Oil, Indoparts, Federal Oil, Pertamina Oil) 
 Property 
 Ivaro Furniture","career growth, perform bonus financial benefits, medical coverage, near public transport work environment and facilities, thr financial benefits",True,https://glints.com/id/opportunities/jobs/data-analyst/ca0d5486-c090-475b-95eb-ed96ae6aff51
